Authors,Title,Keywords,Abstract,Publisher,Publication Date,Volume,Issue,DOI,pages
"Cardon, P; Fleischmann, C; Aritz, J; Logemann, M; Heidewald, J",The Challenges and Opportunities of AI-Assisted Writing: Developing AI Literacy for the AI Age,AI-assisted writing; generative AI; AI-mediated communication; AI literacy,"Generative AI may significantly disrupt the teaching and practice of business communication. This study of 343 communication instructors revealed a collective view that AI-assisted writing will be widely adopted in the workplace and will require significant changes to instruction. Key perceived challenges include less critical thinking and authenticity in writing. Key perceived benefits include more efficiency and better idea generation in writing. Students will need to develop AI literacy-composed of application, authenticity, accountability, and agency-to succeed in the workplace. Recommendations are provided for instructors and administrators to ensure the benefits of AI-assisted writing can outweigh the challenges.",SAGE PUBLICATIONS INC,SEP,86,3,10.1177/23294906231176517,39
"Vuong, QH; Ho, MT",Escape climate apathy by harnessing the power of generative AI,Affective artifacts; AI chatbots; AI ethics; Generative AI; ChatGPT; Climate apathy; Cognitive artifacts; Environmental ethics,,SPRINGER,2024 JAN 3,,,10.1007/s00146-023-01830-x,2
"Brandtzaeg, PB; You, YK; Wang, X; Lao, YC",Good and Bad Machine Agency in the Context of Human-AI Communication: The Case of ChatGPT,Machine Agency; Generative AI; Human-AI Communication,"Machine agency, defined as the ability of machines to act autonomously and interact with users, is becoming increasingly significant in the field of human-machine interaction research. This is especially evident in relation to ChatGPT and other generative artificial intelligence (AI) tools. In this paper, we present an initial extension of S. Shyam Sundar's theory of machine agency, specifically in the context of human-AI communication. We review existing literature on this topic and use real-life news reports on ChatGPT from November 2022 to April 2023 as a basis for illustrating the factors that influence people's perceptions of machine agency as either positive or negative. These perceptions are influenced by a range of factors, including ethical alignment, privacy, transparency, social inclusiveness, human autonomy, and well-being. We propose a more explicit differentiation between good and bad machine agency, a conceptualization that can enhance our understanding of the complexities of human-AI communication. We believe this approach can contribute to the development of guidelines and best practices for using generative AI tools and similar AI technologies. Finally, this conceptualizationmay help people and the public to better benefit from generative AI and identify its risks.",SPRINGER INTERNATIONAL PUBLISHING AG,,14059,,10.1007/978-3-031-48057-7_1,21
"Petrovska, O; Clift, L; Moller, F",Generative AI in Software Development Education: Insights from a Degree Apprenticeship Programme,Generative AI; Software Engineering; Education; Apprenticeships,,ASSOC COMPUTING MACHINERY,,,,10.1145/3610969.3611132,1
"Thompson, K; Corrin, L; Lodge, JM",AI in tertiary education: progress on research and practice,generative AI; educational technology; educational research,"Generative artificial intelligence (AI) has had a significant impact in tertiary education for practitioners and researchers during 2023. We review the way in which academics have made sense of generative AI, revisit our proposed research agenda and reflect on our changing roles as academics in relation to learning, teaching, design and policy.",AUSTRALASIAN SOC COMPUTERS LEARNING TERTIARY EDUCATION-ASCILITE,,39,5,10.14742/ajet.9251,7
"Johnson, WL",How to Harness Generative AI to Accelerate Human Learning,Generative AI; ChatGPT; Pedagogical agents; Socratic tutors; Simulations,"The advent of generative AI has caused both excitement and anxiety among educators. Some school systems have gone so far as to ban it altogether. Generative AI has the potential to transform human learning; but like any new technology, it has both strengths and weaknesses, and adopting it involves some risks. There are risks that generative AI will mislead learners with wrong information, or that learners will use it to do their homework and take tests for them. This article presents some ways to take best advantage of generative AI, while managing and mitigating the risks. It also suggests some uses of generative AI to avoid. These insights are informed by learning science and extensive experience developing AI-enabled learning products. If applied properly, generative AI can dramatically accelerate human learning and do so at scale.",SPRINGER,2023 AUG 8,,,10.1007/s40593-023-00367-w,5
"Sun, J; Liao, QV; Muller, M; Agarwal, M; Houde, S; Talamadupula, K; Weisz, JD",Investigating Explainability of Generative AI for Code through Scenario-based Design,generative AI; software engineering tooling; explainable AI; human-centered AI; scenario based design,"What does it mean for a generative AI model to be explainable? The emergent discipline of explainable AI (XAI) has made great strides in helping people understand discriminative models. Less attention has been paid to generative models that produce artifacts, rather than decisions, as output. Meanwhile, generative AI (GenAI) technologies are maturing and being applied to application domains such as software engineering. Using scenario-based design and question-driven XAI design approaches, we explore users' explainability needs for GenAI in three software engineering use cases: natural language to code, code translation, and code autocompletion. We conducted 9 workshops with 43 software engineers in which real examples from state-of-the-art generative AI models were used to elicit users' explainability needs. Drawing from prior work, we also propose 4 types of XAI features for GenAI for code and gathered additional design ideas from participants. Our work explores explainability needs for GenAI for code and demonstrates how human-centered approaches can drive the technical development of XAI in novel domains.",ASSOC COMPUTING MACHINERY,,,,10.1145/3490099.3511119,17
"Saetra, HS","Generative AI: Here to stay, but for good?",Generative AI; Large language models; Generative adversarial networks; Harms; Power; Inequality,"Generative AI has taken the world by storm, kicked off for real by ChatGPT and quickly followed by further development and the release of GPT-4 and similar models from OpenAI's competitors. The street has most certainly found its use for generative artificial intelligence (AI), and there is no longer much point in discussing whether generative AI will be influential. It will, and what remains to be discussed it how influential it will be, and what potential harms arise when we use AI to generate text and other forms of content. Technological change entails societal change, and we must always endeavor to ask how new technologies shapes, engenders, or potentially erodes the good society. In this sense, Generative AI is another instance of politically and culturally disruptive autonomous technology, and in this short commentary I highlight some of the key questions to be asked regarding consequences on the micro, meso, and macro level.",ELSEVIER SCI LTD,NOV,75,,10.1016/j.techsoc.2023.102372,5
"Lin, L; Long, D",Generative AI Futures: A Speculative Design Exploration,Speculative Design; Generative AI; Creativity; Embodiment; Futures Studies,"What generative AI futures do we want-and what futures do we not want? To imagine what might exist in the future, we apply speculative design to explore plausible scenarios for generative AI and human coexistence. In this paper, we present gAIrden and Onion AI: two in-progress speculative concepts of future generative AI tools, their use cases, and the systems in which they exist. We analyze the designs through lenses of Environment, Data Privacy, Embodiment, and Play. This trip into the future is driven by the research question: how might generative AI tools change how we produce creativity and culture? When we return to the present, we ask ourselves, how might generative AI support positive outcomes for individuals and communities? Can we predict (and potentially mitigate) negative consequences of generative AI tools? The speculative designs purposefully engage viewers in futures thinking to reclaim conversation around the future of technology.",ASSOC COMPUTING MACHINERY,,,,10.1145/3591196.3596616,4
"Baum, K; Bryson, J; Dignum, F; Dignum, V; Grobelnik, M; Hoos, H; Irgens, M; Lukowicz, P; Muller, C; Rossi, F; Shawe-Taylor, J; Theodorou, A; Vinuesa, R",From fear to action: AI governance and opportunities for all,Artificial Intelligence; governance; responsible AI; Trustworthy AI; large language models; generative AI,,FRONTIERS MEDIA SA,MAY 18,5,,10.3389/fcomp.2023.1210421,4
"Schmitt, B",Transforming qualitative research in phygital settings: the role of generative AI,Qualitative research; Generative AI; Interpretative methods; New methodology,"Purpose- This commentary discusses the value of generative artificial intelligence (AI) for qualitative research in phygital settings to understand the customer experience.Design/methodology/approach- The critical and logical analysis is based on current knowledge of generative AI.Findings- Generative AI seems very useful for qualitative research in phygital settings to understand the customer experience and should be used in qualitative research projects. Generative AI can provide much-needed validation of the subjective nature of qualitative research and can also generate insights beyond human intuition.Research limitations/implications- The study is based on current technology, which changes fast. In the future, the skills of qualitative researchers may become outdated, relegating them to the role of prompt engineers.Practical implications- Technology, and especially generative AI, will be a key tool for practitioners as they conduct practical research.Social implications- Qualitative researchers should overcome potential anti-technology speciesism and embrace the potential of generative AI.Originality/value- This commentary provides insights into the role of generative AI for qualitative research in phygital settings.",EMERALD GROUP PUBLISHING LTD,2023 DEC 25,,,10.1108/QMR-08-2023-0107,4
"Lee, UG; Han, AR; Lee, JJ; Lee, ES; Kim, J; Kim, H; Lim, C",Prompt Aloud!: Incorporating image-generative AI into STEAM class with learning analytics using prompt data,Image-generative AI; Art-focused STEAM education; Prompt,"The rapid advancements in artificial intelligence (AI) have transformed various domains, including education. Generative AI models have garnered significant attention for their potential in educational settings, but image-generative AI models need to be more utilized. This study explores the potential of integrating generative AI, specifically Stable Diffusion, into art-focused STEAM classes. To this end, we combined STEAM education with image-generative AI. We designed and implemented a learning activity in which students used image-generative AI to generate creative images and wrote imaginative diaries inspired by AI-generated pictures. Using a mixed-methods approach, we collected and analyzed data from surveys, interviews, and prompt datasets to gain insights into students' perceptions, motivations, and behaviors concerning the integration of generative AI in art education. Our study found that incorporating generative AI into art-focused STEAM classes may reduce the gap between male and female students' interest in art practices. We also found that the number of subjects in students' prompt datasets is linked to their divergent and convergent thinking. Finally, we discovered a meaningful correlation between the number of unique words in students' diaries and the image scores that researchers assessed. Our findings shed light on the relationship between students' divergent and convergent behaviors, offering valuable insights into their creative thinking processes. This study underscores the potential of integrating image-generative AI models in STEAM education.",SPRINGER,2023 SEP 18,,,10.1007/s10639-023-12150-4,31
"Döring, N",Fifty Shades of ChatGPT : Aktueller Diskussions- und Forschungsstand zu Sex und künstlicher Intelligenz,"AI-generated images; AI-generated texts; artificial intelligence (AI), ChatGPT; generative artificial intelligence","Generative Artificial Intelligence (AI) is an umbrella term for different computer algorithms and systems that are capable of creating new content such as texts, images, and music through machine learning and training on very large data sets. Various generative AI tools are now available to the general public. At present, ChatGPT, a text-generating AI, is the most well-known tool: It shows rapidly growing user numbers and has triggered a renewed AI hype since its publication in November 2022. AI-generated content is also relevant in many ways in the context of sexuality. This article presents the current state of discussion and research on generative AI and its sexuality-related use. It addresses the application of text and image generating AI in three key areas: 1) pornography, 2) sexual relationships, and 3) sex education. Opportunities and risks as well as empirical research possibilities are identified.",GEORG THIEME VERLAG KG,SEP,36,3,10.1055/a-2142-9527,12
"Amresh, A",Leveling Up Education: Harnessing Generative AI for Game-Based Learning,Game-based Learning; Generative AI; Software Systems,,ASSOC COMPUTING MACHINERY,,,,10.1145/3627217.3631585,1
"Vigeant, L",Generative AI and Argument Creativity,arguments; creativity; generative AI; universal audience,"Generative AI appears to threaten argument creativity. Because of its capacity to generate coherent texts, individuals are likely to integrate its ideas, and not their own, into arguments, thereby reducing their creative contribution. This article argues that this view is mistaken-it rests on a misunderstanding of the nature of creativity. Within arguments, creative and critical thinking cannot be separated. Because creativity is enmeshed with skills such as analysis and evaluation, the use of generative AI in the construction of arguments, especially in the role as universal audience, has the potential to heighten, not diminish argument creativity.","UNIV WINDSOR, DEPT PHILOSOPHY",MAR 15,44,1,,21
"Lee, J; Eom, SY; Lee, JH",EMPOWERING GAME DESIGNERS WITH GENERATIVE AI,AI; Game Design; Generative AI; Midjourney; Novel AI,"This paper explores how AI-based game design affects the game development process and the role structure of game development teams, with a particular focus on the changes it brings during the early game project proposal phase. We present a comparison of game design proposal cases conducted by a game designer over a span of four years, showcasing how the utilization of artificial intelligence is re-empowering game designers. We envision a empowered game designer capable of market sensing, artwork creation, playable prototype development, subsequent game analysis, and operations all by oneself or with a very small team, a super game designer. This paper illustrates how AI is ushering in a new era for game designers, and discusses the potential to stimulate innovation within the game industry by fostering creativity and imagination of game designers.",IADIS,,18,2,,18
